Date,ISOWeek,DOI,Version,Category,Title,Authors
2026-05-04,19,10.64898/2026.04.29.721686,1,microbiology,Resident and Engrafting E. coli Populations Expand Through Dissimilar Pathways in the Inflamed Gut,"Roggiani, M.; Zhu, J.; Goulian, M."
2026-05-04,19,10.64898/2026.04.28.721144,1,microbiology,Carbohydrate Metabolism Differs in Infants by Asthma-risk Status and is Associated with the Functional Potential of Bacteroides cellulosilyticus,"Steininger, H. M.; Iglesias-Aguirre, C. E.; Panzer, A. R.; Durack, J.; McKean, M.; Cabana, M. D.; Diamond, S.; Lynch, S. V."
2026-05-04,19,10.64898/2026.04.29.721051,1,biochemistry,Nonequilibrium States Promote One-Pot Nonenzymatic Carbon Fixation in the Reverse Tricarboxylic Acid Cycle and Amino Acid Synthesis,"Lin, Y.-H.; Peng, J.-H.; Huang, S.-Y.; Wang, P.-Y.; Huang, C.-C."
2026-05-04,19,10.64898/2026.05.03.722406,1,genomics,Transcription initiation profiling defines the regulatory logic of astrocyte gene regulation,"Kumar, A.; Zuo, Y.; Formoli, N.; Sun, D.; Pokhrel, N.; Guzman, C.; Heinz, S.; Benner, C.; Telese, F."
2026-05-04,19,10.64898/2026.05.03.722489,1,bioinformatics,AnnotateMissense: a genome-wide annotation and benchmarking framework for missense pathogenicity prediction,"Muneeb, M.; Ascher, D. B."
2026-05-04,19,10.64898/2026.04.30.721988,1,genomics,Histone H3K27 methylation states are sequentially catalyzed in cycling cells,"Greene, J. E.; Ahmad, K.; Henikoff, S."
2026-05-04,19,10.64898/2026.05.02.722430,1,biochemistry,Efficient co-transcriptional splicing enforces rapid microexon definition and inclusion by SRRM4,"Gordon, J. M.; Cruz, J. N.; Neugebauer, K. M."
2026-05-04,19,10.64898/2026.05.02.722054,1,bioinformatics,DoFormer: Causal Transformer for Gene Perturbation,"Karbalayghareh, A.; Paull, E.; Califano, A."
2026-05-04,19,10.1101/2024.12.17.629029,2,microbiology,A bacterial NLR-related protein senses distinct phage triggers through a single interface,"Robbins, L. K.; Kibby, E. M.; Deep, A.; Min, N. K.; Whalen, L. A.; Borja Najera, L. D.; Nagy, T. A.; Freeborn, L.; Armbruster, E. G.; Pogliano, J.; Corbett, K. D.; Whiteley, A. T."
2026-05-04,19,10.64898/2026.05.02.722390,1,genomics,Nested TAD hierarchy defines cohesion zones on replicated chromosomes,"Takacs, Z.; Mylarshchikov, D.; Kolesnikova, S.; Langer, C. C. H.; Goloborodko, A.; Gerlich, D. W."
2026-05-04,19,10.64898/2026.04.29.721568,1,bioinformatics,Do Larger Models Really Win in Drug Discovery?A Benchmark Assessment of Model Scaling in AI-Driven Molecular Property and Activity Prediction,"Guo, J."
2026-05-04,19,10.64898/2026.04.29.721088,1,bioinformatics,Reference-Based Library Construction Improves Performance in low-input diaPASEF Workflows,"Charkow, J.; Ghaznavi, M.; Seale, B.; Peng, J.; Gingras, A.-C.; Rost, H."
2026-05-04,19,10.1101/2025.11.24.690234,2,microbiology,Characterisation of novel bacteriophages against the cattle pathogen Moraxella bovis,"Sampson, H. R.; Wegrzyn, M.; Josephs, T.; Ugokwe, N. I.; Kinsella, A.; Thanki, A. M.; Kalra, D. K.; Roux, A.; Patrick, H. L.; Swift, B. M.; Firth, G.; Odedra, R.; Millard, A. D.; Clokie, M. R."
2026-05-04,19,10.64898/2026.01.27.702015,2,genomics,GENERator-v2: Reconciling Coarse Tokenization with Single-Nucleotide Resolution in Genomic Language Modeling,"Li, Q.; Zhan, Z.; Feng, S.; Zhu, Y.; He, Y.; Wu, W.; Shi, Z.; Wang, S.; Hu, Z.; Yang, Z.; Li, J.; Tang, J.; Liu, H.; Qin, T."
2026-05-04,19,10.1101/2024.12.31.630920,2,biochemistry,"Protein Barcoding and Next-Generation Protein Sequencing for Multiplexed Protein Selection, Analysis, and Tracking","Chinnaraj, M.; Huang, H.; Hutchinson, S.; Meyer, M.; Pike, D.; Ribezzi, M.; Sultana, S.; Mansour, G. H.; Ocampo, D.; Ding, F.; Carpenter, M. L.; Chorny, I.; Vieceli, J."
2026-05-04,19,10.64898/2025.12.28.696783,3,biochemistry,"Resurrecting Full-length Ancestral Schizorhodopsins and Heliorhodopsins with Structure-guided, Indel-aware Sequence Reconstruction","Ishikawa, H.; Mizutani, Y."
2026-05-04,19,10.64898/2026.02.06.704469,2,bioinformatics,"SenNet Portal: Build, Optimization and Usage","Borner, K.; Blood, P. D.; Silverstein, J. C.; Ruffalo, M.; Satija, R.; Gehlenborg, N.; Honick, B.; Bueckle, A.; Jain, Y.; Qaurooni, D.; Shirey, B.; Sibilla, M.; Metis, K.; Bisciotti, J.; Morgan, R. S.; Betancur, D.; Sablosky, G. R.; Turner, M. L.; Kim, S.-J.; Lee, P. J.; Bartz, J.; Domanskyi, S.; Peters, S. T.; Enninful, A.; Farzad, N.; Fan, R.; SenNet Team,  ; Herr, B. W."
2026-05-04,19,10.64898/2025.12.12.693979,2,microbiology,Identification and characterization of host-modulating effectors encoded by the Cluster F1 mycobacteriophage NormanBulbieJr,"Wise, B. M.; Edwards, K.; Jirsa, C. R.; Abbruzzese, S.; Adebiyi, A.; Bapat, S.; Barnhardt, T.; Bastiampillai, N.; Begovic, E.; Berchick, M. G.; Bocco, G.; Bonoris, J.; Boos, E.; Cassady, M.; Chehab, J.; Cooper, G.; Coyle, H.; Davis, J.; De la Cruz Vargas, N.; Delach, M.; Dowiak, C.; Ferraro, D.; Fuller, M.; Glasser, B.; Gordon, K.; Hoch, H.; Holleman, S.; Hood, L.; Hurrell, B.; Jacobs, N.; Jiang, D.; Kefalos, S.; Maher, S.; Martin, J.; Mengesha, R.; Merenich, D.; Nayak, A.; Nesterova, D.; Nguyen, J.; Okonkwo, C.; Pompan, T.; Redwood, L.; Scanlon, C.; Schneider, L.; Shenai, A.; Siatkowski, C.; "
2026-05-04,19,10.64898/2026.04.27.721074,2,microbiology,Domain-swapped LuxR-type quorum sensing receptors reveal divergent ligand-response mechanisms among homologs,"Stoutland, I. M.; Walker, S. A.; Blackwell, H. E."
2026-05-04,19,10.1101/2025.08.05.668773,2,genomics,Genome-wide chromatin recording resolves dynamic cell state changes,"Takei, Y.; Lay, J. A.; Linton, J. M.; Chadly, D. M.; Ochiai, Y.; Hadas, R.; Perez, A. A.; Blanco, M. R.; Laurino, P.; Guttman, M.; Elowitz, M. B."
2026-05-04,19,10.1101/2025.10.18.683253,2,biochemistry,An efficient eukaryotic cell-free expression and correlative cryo-electron tomography platform,"Tillu, V.; Hunter, D.; Chen, K.-E.; Smith, J.; Nassar, O.; Rae, J.; Sierecki, E.; Kobe, B.; Gambin, Y.; Collins, B.; Parton, R. G.; Ariotti, N."
2026-05-04,19,10.64898/2026.05.03.722499,1,bioinformatics,AI-guided discovery of atypical protein assemblies,"Toghani, A.; Seager, B. A.; Sugihara, Y.; Roijen, L.-M.; Azcue, J. M.; Garro, M.; Sargolzaei, M.; Morianou, I.; Harant, A.; Gallop, S.; Kourelis, J.; MacLean, D.; Contreras, M. P.; Kamoun, S.; Lüdke, D."
2026-05-04,19,10.64898/2025.12.22.695891,2,genomics,CAD-C: An engineered nuclease enables repair-free in situ proximity ligation and nucleosome-resolution chromosome walks in human cells,"Soroczynski, J.; Westcott, L. A.; Zuo, W.; Ou, A.; Canaj, H.; Hickling, J.; Yeung, J. L.; Konishi, H. A.; Campbell, E. B.; Whelan, C.; Balacco, J.; Formenti, G.; Risca, V. I."
2026-05-04,19,10.64898/2026.04.28.721069,2,bioinformatics,Species-specific transformer models of bacterial gene order and content for genomic surveillance tasks,"Horsfield, S. T.; Wiatrak, M.; McInerney, J. O.; Bentley, S. D.; Colijn, C.; Lees, J. A."
2026-05-04,19,10.64898/2026.04.28.721496,2,microbiology,Translation Inhibiting Antibiotics Induce a Strain Specific asRNA Regulating Purine Metabolism in S. pneumoniae TIGR4,"Özkan, I.; van Opijnen, T.; Meyer, M. M."
2026-05-04,19,10.1101/2025.07.21.665953,4,microbiology,"Novel insights into the specialized metabolism of the extremophile black yeast Hortaea werneckii and its modulation, unlocking its potential for compound discovery","Gerometta, E.; Davies, B. F. R.; Tuli, R. A.; Cochereau, B.; Lebreton-Nicaise, A.; Meslet-Cladiere, L.; Kos, M.; Gunde-Cimerman, N.; Roullier, C."
2026-05-04,19,10.64898/2026.01.15.699695,2,genomics,Reconstructing clone-resolved transcriptional programs from bulk tumor sequencing,"Lai, J.; Yang, Y.; Noller, K.; Liu, Y.; Balan, A.; Nagendra, P.; Kagohara, L. T.; Fertig, E. J.; Wood, L. D.; Karchin, R."
2026-05-04,19,10.64898/2026.04.29.721689,1,bioinformatics,MetaUmbra: Statistically Controlled Genome-Level Presence Inference from Metaproteomic Peptides,"Wu, Q.; Ning, Z.; Zhang, A.; Cheng, K.; Figeys, D."
2026-05-04,19,10.64898/2026.04.17.719300,3,biophysics,Mechanism of HIV-1 Capsid Rupture and Uncoating by Reverse Transcription,"Ghosh, K.; Gupta, M.; Voth, G. A."
2026-05-04,19,10.64898/2026.04.28.721461,2,microbiology,"Genome-resolved metagenomics reveals a high diversity of novel, non-methanogenic lineages in an Andean paramo wetland","Betancurt Anzola, D.; Vanegas, J.; Jurgensen, S.; Wrighton, K. C.; Santamaria Vanegas, J.; Couradeau, E."
2026-05-04,19,10.64898/2026.04.29.721726,1,microbiology,Effectiveness of Cold Atmospheric Plasma on Staphylococcus Aureus Colonies on Living Animal Tissue Surface,"Shakeri, F.; Mehdian, H.; Bakhtiyari-Ramezani, M.; Amini, E.; Hajisharifi, K."
2026-05-04,19,10.64898/2026.04.29.721685,1,microbiology,DNA methylation in Escherichia coli changes in response to growth conditions,"Chen, Z.; Ong, C. T.; Ross, E."
2026-05-04,19,10.1101/2025.06.13.659517,2,biochemistry,"A robust structural, kinetic and biophysical characterization of human ACOD1 to support novel chemotherapeutic development","Runge, B.; Oktay, H.; Fucci, I. J.; Tarasov, S.; Fan, L.; Monteiro, D. C. F."
2026-05-04,19,10.1101/2025.10.30.685675,2,biochemistry,A portable dynamic loop module enables phosphotriesterase function in cysteine-dependent hydrolases,"Schnettler, J. D.; Campbell, E.; Khashiev, R.; Klein, O. J.; Hollfelder, F."
2026-05-04,19,10.64898/2026.04.30.721826,1,bioengineering,A Heart-on-a-Chip Microdevice with Aligned Fibers for Cardiotoxicity Assessment,"Murata, K.; Abulaiti, M.; Okama, R.; Kato, K.; Tanaka, Y.; Masumoto, H."
2026-05-04,19,10.64898/2026.04.23.720356,2,bioengineering,A cellular automaton model of osteogenic differentiation reveals identifiability limits of endpoint assays,"Demir, A. A.; Combriat, T.; Heyward, C. A.; Tiainen, H.; Carlier, A.; Dysthe, D. K."
2026-05-04,19,10.64898/2026.04.29.721810,1,microbiology,WISH-barcoding of Salmonella Typhimurium ATCC14028s strains for population dynamics studies in vivo,"Schubert, C.; Kim, J.; Näpflin, N.; Hoos, M.; Huuskonen, J.; von Mering, C.; Hardt, W.-D."
2026-05-04,19,10.64898/2026.04.30.719183,1,genomics,From fluke to fragment: a multifaceted method for molecular sex identification and mitochondrial haplotyping from environmental DNA samples,"Rodriguez, L. K.; Schallhart, S.; Hobmeier, P.; Curran, T.; Perez-Jorge, S.; Prieto, R.; Oliveira, C.; Silva, M. A.; Thalinger, B."
2026-05-04,19,10.64898/2026.04.30.721814,1,bioinformatics,Automated Multimodal Correlative Registration for Organelle-Specific Molecular Imaging,"Lu, C.; ZHAO, K.; Cui, D.; Chen, G.; Yang, Q.; Yang, H.; Zhao, M.; Song, K.; Nikan, M.; Li, Z.; Zhao, S.; Cen, J.; Qiu, X.; Young, S.; Bennett, C. F.; Seth, P.; Chen, K.; Qi, X.; Jiang, H."
2026-05-04,19,10.1101/2024.12.19.629452,2,biophysics,Cardiac Pacemaker Cells Harness Stochastic Resonance to Ensure Fail-Safe Operation at Low Rates Bordering on Sinus Arrest,"Okamura, A.; He, I. K.; Maltsev, A. V.; Rostislav, B.; Tagirova, S.; Wang, M.; Maltsev, A. V.; Stern, M. D.; Lakatta, E. G.; Maltsev, V. A."
2026-05-04,19,10.64898/2026.04.30.721839,1,bioinformatics,"PDBe-SIFTS: an open-source tool for Structure Integration with Function, Taxonomy, and Sequences, featuring improved alignment, scoring scheme, and accelerated search","Bellaiche, A.; Choudhary, P.; Nair, S.; Harrus, D.; Yu, C. W.-H.; Tanweer, S. A.; Evans, G. L.; Lo, S. W.; Martin, M.; Fleming, J. R.; Velankar, S."
2026-05-04,19,10.64898/2026.04.30.721861,1,bioinformatics,Clustering Strategies Improve Structure-Preserving Visualization of Single-Cell RNA-seq Data with CBMAP,"Alchaar, M.; Dogan, B."
2026-05-04,19,10.1101/2024.01.04.574119,4,microbiology,Loss of essential outer membrane functions causes drug hypersensitization in Acinetobacter baumannii overexpressing multidrug efflux pumps,"Hamami, E.; Huo, W.; Neal, K.; Neisewander, I.; Fnu, S.; Freundlich, J. S.; Geisinger, E.; Isberg, R. R."
2026-05-05,19,10.1101/2025.11.05.684850,2,genomics,Algae-specific Immune Modulation Influences Responses to Heat and Pathogen Challenge in a Symbiotic Coral,"Da-Anoy, J.; Chen, M.-H.; Bouchie, A.; Dougherty, J.; Lapadula, A.; Skena, A.; Wang, W.; Abraham, T.; Thompson, K.; Jasnos, O.; Toyama, K. S.; Ayivor, J.; Diya, O.; Gilmore, T. D.; Davies, S. W."
2026-05-04,19,10.64898/2026.05.01.722232,1,genomics,Toward a probabilistic definition of chromatin accessible regions at the single-cell level,"Sanchez-Escabias, E.; Rico, D.; Reyes, J. C."
2026-05-04,19,10.64898/2026.04.30.722039,1,genomics,A layered standards framework for integrating single-cell and spatial omics data into brain cell atlases,"Ray, P. L.; Miller, J. A.; Jarecka, D.; Smith, K. A.; Baker, P. M.; Ng, L.; Martone, M. E.; Trivedi, P.; Abeysinghe, R.; Anderson, L.; Bandrowski, A. E.; Edyta, V.; Bhandiwad, A. A.; Chhetri, T. R.; Cui, L.; Giglio, M.; Goldy, J.; Hong, N.; Huang, H.; Huang, Y.; Hussain, Y.; Johansen, N.; Kenney, M.; Kruse, L.; Li, X.; Meldrim, J.; Mollenkopf, T.; Nadendla, S.; Osumi-Sutherland, D.; Sanchez, R.; Scheuermann, R. H.; Tao, S.; Vanderburg, C. R.; Yang, Y.; Ropelewski, A.; Mufti, S.; Lein, E.; Xu, H.; Zheng, W. J.; Ghosh, S. S.; White, O.; Hawrylycz, M.; Zhang, G.-Q.; Thompson, C. L."
2026-05-05,19,10.1101/689851,7,bioinformatics,A novel metric reveals previously unrecognized distortion in dimensionality reduction of scRNA-Seq data,"Hamilton, T.; Sparta, B.; Cooley, S. M.; Aragones, S. D.; Ray, J. C. J.; Deeds, E. J."
2026-05-05,19,10.1101/2025.02.19.638723,2,bioinformatics,MolGene-E: Inverse Molecular Design to Modulate Single Cell Transcriptomics,"Ohlan, R.; Murugan, R.; Xie, L.; Nallabolu, V.; Mottaqi, M.; Zhang, S.; Xie, L."
2026-05-05,19,10.1101/2025.04.09.647946,2,bioinformatics,Systematic contextual biases in SegmentNT potentially relevant to other nucleotide transformer models,"Ebbert, M. T. W.; Ho, A.; Page, M. L.; Dutch, B.; Byer, B. K.; Hankins, K. L.; Sabra, H.; Aguzzoli Heberle, B.; Wadsworth, M. E.; Fox, G. A.; Karki, B.; Hickey, C.; Fardo, D. W.; Bumgardner, C.; Jakubek, Y. A.; Steely, C. J.; Miller, J. B."
2026-05-05,19,10.64898/2026.04.23.720326,2,bioengineering,Surface functionalization of small extracellular vesicles derived from Caco-2 and HEK293T cells in the neutralization of Shiga toxin 1 subunit B,"Mikolajczyk, K.; Bereznicka, A.; Czernek, L.; Gualerzi, A.; Forleo, L.; Bedoni, M.; Lodej, N.; Migdal, P."
2026-05-05,19,10.64898/2026.03.31.715417,2,bioengineering,Evaluation of direct strain field prediction in bone with data-driven image mechanics (D2IM-Strain),"Valijonov, J.; Soar, P.; Le Houx, J.; Tozzi, G."
2026-05-05,19,10.64898/2026.05.01.722242,1,bioinformatics,Massively parallel reporter assay-informed modeling improves prediction of context-specific enhancer-gene regulatory interactions,"DeGroat, W.; Kreimer, A."
2026-05-05,19,10.64898/2026.05.01.722304,1,synthetic biology,Wnt signaling and tissue tension reconstitute planar cell polarity in vitro,"Matsuo, S.; Suzuki, M.; Hirano, S.; Otani, T.; Mii, Y."
2026-05-05,19,10.64898/2026.05.04.722639,1,microbiology,Lithocholic acid modulates the growth of butyrate-producing bacteria and is decreased in the feces of stunted children,"Huus, K. E.; Garneau, J. R.; Akduman, N.; Yersin, S.; Han, J.; Beliaeva, M. A.; Gekeler, C.; Boldt, L.; Winkel, M.; Borchers, C. H.; Finlay, B. B.; Zimmermann, M.; Sansonetti, P. J.; Maier, L.; Vonaesch, P.; Afribiota Investigators,  "
2026-05-05,19,10.64898/2026.02.15.705989,2,genomics,Comparative multi-omics of the macrophage response to infection with Mycobacterium tuberculosis complex bacteria reveals pathogen-driven epigenomic reprogramming,"Hall, T. J.; Mitermite, M.; O'Grady, J. F.; Browne, J. A.; McHugo, G. P.; Clark, E. L.; Salavati, M.; Gordon, S. V.; MacHugh, D. E."
2026-05-05,19,10.64898/2026.03.16.711854,2,genomics,Short repeats drive mitochondrial genome expansion and record hybridization in Camellia,"Zhang, F.; Gao, L.-Z."
2026-05-05,19,10.64898/2026.04.21.719968,2,biochemistry,Fluorescent non-canonical amino acid as a site-specific conformational probe of prion formation,"de Alcantara Ferreira, J.; Walsh, D. J.; Turnbaugh, E.; Mills, J. H.; Supattapone, S."
2026-05-05,19,10.1101/2025.03.31.646451,3,bioengineering,Maximizing the fidelity of a photovoltaic subretinal prosthesis for human patients,"Jensen, N.; Ly, K.; Goldstein, A. K.; Devaud, Q.; Palanker, D."
2026-05-05,19,10.1101/2025.11.29.691308,2,bioinformatics,multiVIB: A unified probabilistic contrastive learning framework for atlas-scale integration of single-cell multi-omics data,"Xu, Y.; Fleming, S. J.; Wang, B.; Schoenbeck, E. G.; Babadi, M.; Huo, B.-X."
2026-05-05,19,10.64898/2026.04.14.718336,3,bioinformatics,"cellNexus: Quality control, annotation, aggregation and analytical layers for the Human Cell Atlas data","Shen, M.; Gao, Y.; Liu, N.; Bhuva, D.; Milton, M.; Henao, J.; Andrews, J.; Yang, E.; Zhan, C.; Liu, N.; Si, S.; Hutchison, W. J.; Shakeel, M. H.; Morgan, M.; Papenfuss, A. T.; Iskander, J.; Polo, J. M.; Mangiola, S."
2026-05-05,19,10.64898/2026.04.09.717444,2,bioinformatics,IMAS enables target-aware integration of tumour multiomics to resolve communication-guided regulatory mechanisms,"Deyang, W.; Yamashiro, T.; Inubushi, T."
2026-05-05,19,10.1101/2025.11.12.688061,3,bioinformatics,Topology Matters: The Trade-off Between Wasserstein Critics and Discriminators in Single-Cell Data Integration,"Reid, K.; Stein-O'Brien, G.; Guven, E."
2026-05-05,19,10.64898/2026.05.03.722497,1,pharmacology and toxicology,TRPA1 channel activation by synthetic lipid nanoparticles,"Milici, A.; Startek, J. B.; Bultynck, G.; Talavera, K."
2026-05-05,19,10.64898/2026.05.01.722010,1,biophysics,Synthetic Biomolecular Condensates as Tunable Microtubule Assembly Hubs,"Srinivasan, S.; Singh, A.; Potoyan, D. A.; Banerjee, P. R."
2026-05-05,19,10.64898/2026.05.01.722258,1,biophysics,Loop Extrusion Reversal by Condensin Motor is Mediated by Catch Bonds,"Dey, A.; Shi, G.; Takaki, R.; Thirumalai, D."
2026-05-05,19,10.64898/2026.04.30.722084,1,synthetic biology,Learning the structural diversity in random protein sequence space,"Buchel, F.; Neuwirthova, T.; Tureckiova, T.; Fuertes, G.; Benda, A.; Panek, D.; Fricek, M.; AlQuraishi, M.; Hlouchova, K."
2026-05-05,19,10.64898/2026.05.01.722327,2,microbiology,The Unified Human Virome Database: A toolkit for expanded human virome analysis,"Miller, C. J.; Pope, C. E.; Lavitt, M. H.; Caverly, L. J.; LiPuma, J. J.; Penewit, K.; Lewis, J. D.; Salipante, S. J.; Hoffman, L. R."
2026-05-05,19,10.64898/2026.04.30.722079,1,genomics,Quantifying Somatic Mutation Burden: An Assay Validation Framework and Implementation in SomaticCODEC,"Johnstone, J. N.; Phie, J.; Fraser, C."
2026-05-05,19,10.64898/2026.05.04.722578,1,microbiology,Evaluating the use of siRNA to silence the expression of the H5N2 virus polymerase genes as strategy to block the transmission of the avian H5N2 virus in mammalian cells.,"Sugrue, R. J.; Sutejo, R.; Tan, B. H."
2026-05-05,19,10.64898/2026.05.01.722319,1,microbiology,Proton motive force mediated efflux mismatch drives gentamycin-novobiocin collateral sensitivity in Pseudomonas aeruginosa,"Mahmud, H. A.; Rahman, M. S.; Ruiz, E. O.; Luecke, A.; Brown, A. M. V.; Wakeman, C."
2026-05-05,19,10.64898/2026.05.01.722228,1,genomics,Near telomere-to-telomere Linum genomes reveal a lineage-specific DNA transposon associated with chromosome architecture remodeling,"You, F. M.; Zheng, C.; Li, P.; Edwards, T.; Walkowiak, S.; He, L.; Xiao, J.; Wang, X.; Cloutier, S."
2026-05-05,19,10.64898/2026.05.01.722254,1,genomics,Haplotype-resolved genome of autotetraploid alfalfa (Medicago sativa) Regen-SY27x uncovers large scale structural variation and resistance gene dynamics,"Kaur, H.; Cameron, C. T.; Gomez, A.; Mudge, J.; Farmer, A.; Shannon, L. M.; Samac, D. A."
2026-05-05,19,10.64898/2026.05.04.722716,1,biochemistry,Structural basis for rifamycin recognition and sequential substrate binding by the mycobacterial ADP-ribosyltransferase ARR,"von Soosten, L. C.; Schulz, E. C."
2026-05-05,19,10.64898/2026.05.01.722288,1,biochemistry,Resolving hidden stoichiometries in Bacterial proteasome activator (Bpa)-substrate complexes by cryo-EM and charge detection mass spectrometry,"Davis, B. T. V.; Uday, A. B. B.; Haris, A.; Keszei, A. F. A.; Ujma, J.; Bruton, D.; Richardson, K.; Mazhab-Jafari, M.; Giles, K.; Zeytuni, N.; Vahidi, S."
